,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
0,Ses01F_script02_2_F000,5,0.0036712504999999998,0.0057391888,0.00443438,0.0036399953999999997,0.018691588785046728,-0.008143038940033875,0.02317875731734293,0.13305676159311708
1,Ses01F_script02_2_F001,5,0.0063653545999999995,0.011154785,0.007912978499999999,0.007850333000000001,0.4444444444444444,-0.017120402844739147,0.09457802753936162,0.21375896375859613
6,Ses01F_script02_2_F006,0,0.039658815,0.06793865,0.049930367999999996,0.046050478,0.34501845018450183,-0.004604571131494596,3.4417038900866723,9.317455092884453
7,Ses01F_script02_2_F007,2,0.01447849,0.026940693999999998,0.018383784,0.019687347,0.4227642276422765,-0.011850172086269595,0.5682612931234071,1.928246955894857
8,Ses01F_script02_2_F008,0,0.025270723,0.05495801,0.03157129,0.044957664,0.4700193423597679,-0.0051198162509535905,2.5293985314078644,9.210082483638422
9,Ses01F_script02_2_F009,0,0.05125287,0.091549054,0.06483304,0.06459625,0.3342541436464088,-0.027298279746901244,6.390467033485898,17.304373714134403
10,Ses01F_script02_2_F010,0,0.030126552999999997,0.062409963,0.03852519,0.049099073,0.5209003215434084,-0.002437468992866343,3.190178877463329,7.100464997638272
12,Ses01F_script02_2_F012,2,0.03260919,0.06017635,0.04114213,0.04391249,0.34814143245693563,-0.004718609034171095,2.8236374508021225,15.653593975546926
13,Ses01F_script02_2_F013,2,0.010702172,0.022648199,0.013273368999999998,0.018344924,0.2621359223300971,-0.005004167178412899,0.4289581091909989,1.6251281480878697
15,Ses01F_script02_2_F015,2,0.013251121999999999,0.023459276,0.016554523,0.01660674,0.4541436464088398,-0.006434584975067992,0.4182331993370065,1.914990712207124
16,Ses01F_script02_2_F016,0,0.047188234,0.09300510000000001,0.060231507000000004,0.070655525,0.489051094890511,-0.0014427193946175974,6.941052550906671,12.548745448028507
17,Ses01F_script02_2_F017,5,0.004632744,0.009796941,0.005757597,0.00792338,0.4624373956594324,-0.0051854876801371574,0.0801999555385378,0.5621693171240623
19,Ses01F_script02_2_F019,1,0.004441948,0.006848880600000001,0.005511969,0.0040638745,0.1362339514978602,-0.005372816758608678,0.03259609509447637,0.4778682409242431
21,Ses01F_script02_2_F021,2,0.00439255,0.007035586999999999,0.0052944915,0.004614875,0.1826086956521739,-0.002186585106755956,0.03548143473446709,0.4306391320392604
22,Ses01F_script02_2_F022,2,0.004595083,0.008605961,0.0055613397,0.0065593813,0.4163636363636364,-0.00932936109165894,0.058586044968493324,0.7995196862884189
23,Ses01F_script02_2_F023,5,0.0017869291,0.0023678553,0.0022131996,0.0008387084,0.0,-0.008111674105748534,0.003313449552204925,0.014103791713438597
25,Ses01F_script02_2_F025,2,0.0046389442999999995,0.0072396225,0.005750983,0.004435523,0.22392638036809814,-0.00734712193661835,0.0367553362384311,0.10893466076776732
26,Ses01F_script02_2_F026,5,0.0025861945,0.0039143325,0.0032384833,0.0022119302,0.0,-0.0055268806136155035,0.010500822428829498,0.030430597134182263
27,Ses01F_script02_2_F027,2,0.0030822959000000004,0.006027188,0.0038312223999999997,0.004637507,0.011363636363636364,-0.004527353667072021,0.02941477680881168,0.11980603389846628
29,Ses01F_script02_2_F029,2,0.0074779014000000005,0.014224287,0.009379605,0.010629518000000001,0.3629032258064516,-0.01688301381363999,0.16114998562828062,0.2620565005363251
30,Ses01F_script02_2_F030,2,0.01032346,0.018855186,0.01265329,0.013955624,0.4714285714285714,-0.005095741016702959,0.2753978967256045,1.4143453044594685
32,Ses01F_script02_2_F032,2,0.005522054,0.011900647,0.006923766,0.009668178000000001,0.5528169014084507,-0.008378789971175138,0.1190911296697722,0.4707996991273343
33,Ses01F_script02_2_F033,2,0.0038725546999999996,0.0063095475,0.0046859020000000005,0.0042248145,0.2808988764044944,-0.009467638847127093,0.02886321863660805,0.2162607530175304
34,Ses01F_script02_2_F034,2,0.005239466,0.008584379,0.0062741490000000006,0.0058471880000000006,0.4559585492227979,-0.006320881766441744,0.05350100335607072,0.5324457688953899
35,Ses01F_script02_2_F035,2,0.00884519,0.015314973999999999,0.010954908000000001,0.010697606,0.403598971722365,-0.005488423539645737,0.17657583386606635,1.1630790210470765
36,Ses01F_script02_2_F036,2,0.0029894845000000003,0.004656834,0.0036593538,0.00288951,0.0,-0.011781733519455884,0.015212367683938471,0.11115284849252068
37,Ses01F_script02_2_F037,4,0.011009413000000001,0.022304736000000002,0.013750746999999999,0.017552411,0.5125786163522013,-0.005137439984537195,0.4057297371212828,2.1413862705377418
38,Ses01F_script02_2_F038,4,0.0062316640000000005,0.0124973655,0.00775952,0.009775183,0.6375838926174496,-0.0056497792684240275,0.12720821668914375,0.4298124980702431
40,Ses01F_script02_2_F040,2,0.004102902,0.0069522317,0.0051121856,0.0047089364000000005,0.23577235772357724,-0.00682385643813177,0.036062906276138944,0.3011970742846351
41,Ses01F_script02_2_F041,5,0.003647562,0.005610473,0.004592156500000001,0.0032214206,0.05578512396694215,-0.007011388788669136,0.021831285273839485,0.1262144034207522
42,Ses01F_script02_2_F042,1,0.0051540253,0.009055887,0.0061415667,0.006666340400000001,0.484171322160149,-0.0070427936407213565,0.06247700794419914,1.250319136197356
43,Ses01F_script02_2_F043,1,0.008042158,0.013026156,0.009906630999999999,0.008464554000000001,0.3625377643504532,-0.007075376743159722,0.1221012756193932,0.2740518302218468
44,Ses01F_script02_2_F044,1,0.0032841908,0.0048589483,0.003993076,0.0027592690000000004,0.016304347826086956,-0.0046270579332485795,0.015815960707430885,0.1068427969407262
45,Ses01F_script02_2_F045,1,0.0024502715,0.0034719338000000002,0.0030267239,0.0017009167999999999,0.0,-0.007264902706083377,0.007730458137259749,0.046005592250410586
46,Ses01F_script02_2_F046,2,0.0030489538,0.0047817095,0.0036590307,0.003071215,0.009174311926605505,-0.006522965122712776,0.016144396220981794,0.16599811385933547
47,Ses01F_script02_2_F047,5,0.0017836596,0.002283731,0.0022112369,0.0005701003,0.0,-0.005649438207910862,0.0029340926422505445,0.018430807331634862
48,Ses01F_script02_2_M000,1,0.009200789000000001,0.015423333999999999,0.011678906000000001,0.010084316999999999,0.400749063670412,-0.0007998703495104563,0.17575392658500186,0.5369111626252816
49,Ses01F_script02_2_M001,1,0.011468082,0.020669168,0.014139754,0.015022908,0.4597156398104265,-0.00448443643108476,0.3286265074915215,0.7946741659605336
50,Ses01F_script02_2_M002,5,0.007820025999999999,0.01583246,0.009757716,0.012454458,0.5358851674641149,-0.008710112524568103,0.2051233029848617,0.4798247445643707
52,Ses01F_script02_2_M004,2,0.016858075,0.028478127000000002,0.020782625,0.019408772,0.40425531914893614,-0.0021498531168617774,0.5970953911475603,2.1244090404976768
54,Ses01F_script02_2_M006,5,0.006660494499999999,0.011588884499999999,0.0083569465,0.008021908000000001,0.494949494949495,-0.009126492841460276,0.1015596904697833,0.4255865924868159
55,Ses01F_script02_2_M007,2,0.011216081000000001,0.017607952,0.013880536,0.010834969,0.35858585858585856,-0.004461935077415546,0.21705039254151506,0.6372152127141035
56,Ses01F_script02_2_M008,2,0.0289421,0.05455301,0.036013406,0.040963652999999996,0.3953771289537713,-0.007026699222478783,2.3407845731230856,12.192219203533675
57,Ses01F_script02_2_M009,2,0.016164657,0.03392313,0.020098062,0.026308466000000003,0.6338028169014085,-0.01493468698754441,0.9490354211769922,1.7143098832514427
58,Ses01F_script02_2_M010,2,0.017382276999999998,0.033696555,0.021566095,0.025837999,0.5177664974619289,-0.0025223621378245298,0.9071454494101676,3.7002710764551816
59,Ses01F_script02_2_M011,2,0.014988976499999999,0.040244023999999996,0.019047773,0.035403986,0.6267123287671232,-0.003447350991336861,1.4468219520135066,3.4797679299666537
61,Ses01F_script02_2_M013,2,0.010360997,0.02510604,0.013047926000000001,0.021443352000000002,0.5210526315789473,-0.008976719982456416,0.5493808003376739,2.0686555320871687
62,Ses01F_script02_2_M014,2,0.010719455,0.017563835,0.013886758,0.010897025500000001,0.2556390977443609,-0.005721582510886947,0.22417731584941136,0.5642102194906979
63,Ses01F_script02_2_M015,2,0.009345015,0.01423666,0.011912638,0.007825773000000001,0.20798319327731093,-0.00408400683227228,0.13906013915828835,0.4184542074506192
64,Ses01F_script02_2_M016,5,0.012779802,0.020291895,0.015874952,0.01263569,0.2657757980697847,-0.003962917617172934,0.29159405884833106,1.749940655579307
65,Ses01F_script02_2_M017,5,0.009101473,0.018076954,0.011241903000000001,0.014134543999999999,0.5253164556962026,-0.006283567017817404,0.2649401465206878,2.5622772398934037
67,Ses01F_script02_2_M019,5,0.010142352,0.016137345,0.012643833,0.010015706,0.29120879120879123,-0.006518723239423707,0.1846854649949467,0.8123198188634844
68,Ses01F_script02_2_M020,2,0.006259132,0.011730456,0.007814768,0.008742640999999999,0.556910569105691,-0.00570213160244748,0.10851023871519344,0.3939579078923459
69,Ses01F_script02_2_M021,5,0.001939064,0.0027657386,0.0024249211,0.0013282469,0.0,-0.008592585800215602,0.004945468810360087,0.027119579799772583
70,Ses01F_script02_2_M022,5,0.0033377889000000003,0.0057706884,0.0041684527,0.003990441,0.12987012987012986,-0.007778122380841523,0.0251832561339483,0.1547100213824486
71,Ses01F_script02_2_M023,5,0.0046915985,0.008813224,0.0058375136,0.0066022495999999995,0.5882352941176471,-0.00761206592869712,0.06146209486083765,0.25911197784539064
72,Ses01F_script02_2_M024,1,0.0062056603000000005,0.00927496,0.0077653457,0.005053666,0.3164556962025317,0.0008278331620203971,0.057915326477707876,0.12385153535618075
